21-21 1 1 1
21-22 0 2 1
21-23 1 3 1
21-24 0 4 1
21-25 1 5 1
21-26 0 6 1
21-27 1 7 1
21-28 0 8 1
21-29 1 9 1
21-30 0 10 1
21-31 1 11 1
21-32 0 12 1
21-33 1 13 1
21-34 0 14 1
21-35 1 15 1
21-36 0 16 1
21-37 1 17 1
21-38 0 18 1
21-39 1 19 1
21-40 0 20 1
22-21 0 1 2
22-22 1 2 2
22-23 0 3 2
22-24 1 4 2
22-25 0 5 2
22-26 1 6 2
22-27 0 7 2
22-28 1 8 2
22-29 0 9 2
22-30 1 10 2
22-31 0 11 2
22-32 1 12 2
22-33 0 13 2
22-34 1 14 2
22-35 0 15 2
22-36 1 16 2
22-37 0 17 2
22-38 1 18 2
22-39 0 19 2
22-40 1 20 2
23-21 1 1 3
23-22 0 2 3
23-23 1 3 3
23-24 0 4 3
23-25 1 5 3
23-26 0 6 3
23-27 1 7 3
23-28 0 8 3
23-29 1 9 3
23-30 0 10 3
23-31 1 11 3
23-32 0 12 3
23-33 1 13 3
23-34 0 14 3
23-35 1 15 3
23-36 0 16 3
23-37 1 17 3
23-38 0 18 3
23-39 1 19 3
23-40 0 20 3
24-21 0 1 4
24-22 1 2 4
24-23 0 3 4
24-24 1 4 4
24-25 0 5 4
24-26 1 6 4
24-27 0 7 4
24-28 1 8 4
24-29 0 9 4
24-30 1 10 4
24-31 0 11 4
24-32 1 12 4
24-33 0 13 4
24-34 1 14 4
24-35 0 15 4
24-36 1 16 4
24-37 0 17 4
24-38 1 18 4
24-39 0 19 4
24-40 1 20 4
25-21 1 1 5
25-22 0 2 5
25-23 1 3 5
25-24 0 4 5
25-25 1 5 5
25-26 0 6 5
25-27 1 7 5
25-28 0 8 5
25-29 1 9 5
25-30 0 10 5
25-31 1 11 5
25-32 0 12 5
25-33 1 13 5
25-34 0 14 5
25-35 1 15 5
25-36 0 16 5
25-37 1 17 5
25-38 0 18 5
25-39 1 19 5
25-40 0 20 5
26-21 0 1 6
26-22 1 2 6
26-23 0 3 6
26-24 1 4 6
26-25 0 5 6
26-26 1 6 6
26-27 0 7 6
26-28 1 8 6
26-29 0 9 6
26-30 1 10 6
26-31 0 11 6
26-32 1 12 6
26-33 0 13 6
26-34 1 14 6
26-35 0 15 6
26-36 1 16 6
26-37 0 17 6
26-38 1 18 6
26-39 0 19 6
26-40 1 20 6
27-21 1 1 7
27-22 0 2 7
27-23 1 3 7
27-24 0 4 7
27-25 1 5 7
27-26 0 6 7
27-27 1 7 7
27-28 0 8 7
27-29 1 9 7
27-30 0 10 7
27-31 1 11 7
27-32 0 12 7
27-33 1 13 7
27-34 0 14 7
27-35 1 15 7
27-36 0 16 7
27-37 1 17 7
27-38 0 18 7
27-39 1 19 7
27-40 0 20 7
28-21 0 1 8
28-22 1 2 8
28-23 0 3 8
28-24 1 4 8
28-25 0 5 8
28-26 1 6 8
28-27 0 7 8
28-28 1 8 8
28-29 0 9 8
28-30 1 10 8
28-31 0 11 8
28-32 1 12 8
28-33 0 13 8
28-34 1 14 8
28-35 0 15 8
28-36 1 16 8
28-37 0 17 8
28-38 1 18 8
28-39 0 19 8
28-40 1 20 8
29-21 1 1 9
29-22 0 2 9
29-23 1 3 9
29-24 0 4 9
29-25 1 5 9
29-26 0 6 9
29-27 1 7 9
29-28 0 8 9
29-29 1 9 9
29-30 0 10 9
29-31 1 11 9
29-32 0 12 9
29-33 1 13 9
29-34 0 14 9
29-35 1 15 9
29-36 0 16 9
29-37 1 17 9
29-38 0 18 9
29-39 1 19 9
29-40 0 20 9
30-21 0 1 10
30-22 1 2 10
30-23 0 3 10
