1 1 27-22
1 2 27-24
1 3 25-30
1 4 25-32
1 5 25-34
1 6 25-36
1 7 25-38
1 8 25-40
1 9 25-22
1 10 25-24
1 11 25-26
1 12 25-28
1 13 24-33
1 14 24-35
1 15 24-37
1 16 24-39
1 17 24-21
1 18 24-23
1 19 24-25
1 20 24-27
1 21 24-29
1 22 24-31
1 23 21-38
1 24 21-40
1 25 21-22
1 26 21-24
1 27 21-26
1 28 21-28
1 29 21-30
1 30 21-32
1 31 21-34
1 32 21-36
2 1 32-21
2 2 32-23
2 3 32-25
2 4 32-27
2 5 32-29
2 6 23-34
2 7 23-36
2 8 23-38
2 9 23-22
2 10 23-24
2 11 23-26
2 12 23-28
2 13 23-30
2 14 23-32
2 15 22-37
2 16 22-39
2 17 22-21
2 18 22-23
2 19 22-25
2 20 22-27
2 21 22-29
2 22 22-31
2 23 22-33
2 24 22-35
2 25 27-26
2 26 27-28
2 27 27-30
2 28 27-32
2 29 27-34
2 30 27-36
2 31 27-38
2 32 27-40
3 1 35-22
3 2 35-24
3 3 35-26
3 4 35-28
3 5 35-30
3 6 31-22
3 7 30-37
3 8 30-39
3 9 34-31
3 10 34-33
3 11 34-35
3 12 34-37
3 13 34-39
3 14 30-31
3 15 30-33
3 16 30-35
3 17 34-21
3 18 34-23
3 19 34-25
3 20 34-27
3 21 34-29
3 22 30-25
3 23 30-27
3 24 30-29
3 25 32-31
3 26 32-33
3 27 32-35
3 28 32-37
3 29 32-39
3 30 30-21
3 31 30-23
3 32 23-40
4 1 37-22
4 2 37-24
4 3 37-26
4 4 37-28
4 5 37-30
4 6 37-32
4 7 37-34
4 8 37-36
4 9 36-25
4 10 36-27
4 11 36-29
4 12 36-31
4 13 36-33
4 14 36-35
4 15 36-37
4 16 36-39
4 17 36-21
4 18 36-23
4 19 31-30
4 20 31-32
4 21 31-34
4 22 31-36
4 23 31-38
4 24 31-40
4 25 35-32
4 26 35-34
4 27 35-36
4 28 35-38
4 29 35-40
4 30 31-24
4 31 31-26
4 32 31-28
5 1 40-25
5 2 40-27
5 3 40-29
5 4 40-31
5 5 40-33
5 6 40-35
5 7 40-37
5 8 40-39
5 9 40-21
5 10 40-23
5 11 39-30
5 12 39-32
5 13 39-34
5 14 39-36
5 15 39-38
5 16 39-40
5 17 39-22
5 18 39-24
5 19 39-26
5 20 39-28
5 21 38-33
5 22 38-35
5 23 38-37
5 24 38-39
5 25 38-21
5 26 38-23
5 27 38-25
5 28 38-27
5 29 38-29
5 30 38-31
5 31 37-38
5 32 37-40
6 1 26-25
6 2 26-27
6 3 26-29
6 4 26-31
6 5 26-33
6 6 26-35
6 7 26-37
6 8 26-39
6 9 26-21
6 10 26-23
6 11 29-30
6 12 29-32
6 13 29-34
6 14 29-36
6 15 29-38
6 16 29-40
6 17 29-22
6 18 29-24
6 19 29-26
6 20 29-28
6 21 28-33
6 22 28-35
6 23 28-37
6 24 28-39
6 25 28-21
6 26 28-23
6 27 28-25
6 28 28-27
6 29 28-29
6 30 28-31
6 31 33-38
6 32 33-40
7 1 27-21
7 2 26-30
7 3 26-34
7 4 26-38
7 5 36-40
7 6 28-38
7 7 38-24
7 8 38-28
7 9 26-22
7 10 26-26
7 11 25-33
7 12 25-37
7 13 28-28
7 14 28-32
7 15 39-33
7 16 39-37
7 17 25-21
7 18 25-25
7 19 25-29
7 20 23-37
7 21 28-22
7 22 28-26
7 23 39-23
7 24 39-27
7 25 23-21
7 26 23-25
7 27 23-29
7 28 23-33
7 29 27-25
7 30 27-29
7 31 27-33
7 32 27-37
8 1 30-22
8 2 29-37
8 3 29-39
8 4 21-21
8 5 21-23
